e, e_dot, e_int, stamp, 
-0.5496303393549056, -0.032034760315837, -0.10864467745834763, 1762985263588340323, 
-0.5496303393549056, -0.032034760315837, -0.10928537266466437, 1762985263588340323, 
-0.5434040742472446, 0.020754217025536665, -0.10951098353047038, 1762985263847840211, 
-0.546166100196448, 0.011547463861525387, -0.10928003425323987, 1762985263948326471, 
-0.546166100196448, -0.00920675316401128, -0.10904908497600936, 1762985263948326471, 
-0.5435946173952679, 0.00857160933726675, -0.10906178785254425, 1762985264248929920, 
-0.5389757892842546, 0.023967703040644512, -0.10858243379173137, 1762985264348345814, 
-0.5467446846927428, -0.010500224324916374, -0.10862100609148435, 1762985264438335114, 
-0.5378328374763299, 0.0038098393597489157, -0.10823688743022182, 1762985264589222834, 
-0.538911322069195, 0.02611120874515945, -0.10823258961588451, 1762985264748392141, 
-0.5457141986744034, -0.026271203993578258, -0.10816389054799522, 1762985264839345420, 
-0.535115071202581, 0.012654169555380198, -0.1079827061297453, 1762985264988821252, 
-0.5335712064215752, 0.04047664084276074, -0.10762669841990397, 1762985265098349727, 
-0.5102385137565761, 0.08292185815334936, -0.10526165275871548, 1762985265238354693, 
-0.48702209841584043, 0.15516369335244917, -0.10205545457293279, 1762985265338394205, 
-0.45979412006938425, 0.1681479789573063, -0.09713698214945339, 1762985265498363319, 
-0.44179580497165727, 0.15075431148061055, -0.09257413489712546, 1762985265638339352, 
-0.41049199791495905, 0.16434040718141732, -0.0874721281970667, 1762985265738350714, 
-0.3886098214690996, 0.1772866116751922, -0.08272650829038106, 1762985265898399116, 
-0.36490833301612025, 0.15194554966279603, -0.0776006768266786, 1762985265989353084, 
-0.33558796642691924, 0.17673951680726793, -0.07260707472747593, 1762985266138623584, 
-0.31309845211722553, 0.1726996029963157, -0.067572983437351, 1762985266249149203, 
-0.29278218855947946, 0.14268592622479925, -0.06276457380690828, 1762985266388584001, 
-0.2708635825765957, 0.1407828984687661, -0.05844961488355338, 1762985266488935000, 
-0.25547877760354787, 0.12434470318643864, -0.0546083032493082, 1762985266648399373, 
-0.24358456230636305, 0.0909300675674422, -0.05132846149910044, 1762985266788644120, 
-0.22114920619338196, 0.11443190470055302, -0.04801416974021953, 1762985266888759357, 
-0.2128936985955452, 0.10230287903605954, -0.04517516447301935, 1762985267048539892, 
-0.21402011156058398, 0.02376364877599328, -0.043204201089967406, 1762985267148462325, 
-0.21108586672590457, 0.0060261062321353975, -0.042533311792135584, 1762985267288355076, 
-0.2209445077889236, -0.02308132076113208, -0.04307003240502748, 1762985267389985416, 
-0.2174204850383994, -0.02111539437498274, -0.04329672397021517, 1762985267543372320, 
-0.24873278442841062, -0.09262758879829007, -0.04580651848371557, 1762985267638366481, 
-0.24873278442841062, -0.10437433130003744, -0.04765907025968138, 1762985267638366481, 
-0.24887810642101416, -0.00048440664201176986, -0.04975624501852236, 1762985267784571172, 
-0.2711081684877592, -0.07458461353116193, -0.0512479372891456, 1762985267944367929, 
-0.28032884261109015, -0.1048357873002533, -0.0533543411679909, 1762985268038349809, 
-0.28032884261109015, -0.030735580411103136, -0.05545105691399597, 1762985268038349809, 
-0.2576596581485635, 0.07556394820842212, -0.05455448955804958, 1762985268185092009, 
-0.31444017527778456, -0.11370444222231472, -0.05682857840249588, 1762985268299325904, 
-0.32751963703503506, -0.2328665962882385, -0.05997463136409221, 1762985268438373660, 
-0.32751963703503506, -0.04359820585750166, -0.06463196328985697, 1762985268438373660, 
-0.3257142537654407, 0.006017944231981136, -0.06538356852236739, 1762985268585855594, 
-0.33913990074655764, -0.03873421237174194, -0.06615825276980222, 1762985268696067392, 
-0.3507360095101095, -0.08340585248222936, -0.06770601093480719, 1762985268838471621, 
-0.3507360095101095, -0.038653695878506276, -0.06937412798445178, 1762985268838471621, 
-0.4932628643136372, -0.4750895160117589, -0.07964899222225708, 1762985268949036693, 
-0.4932628643136372, -0.4750895160117589, -0.08915078254249226, 1762985268949036693, 
-0.4932628643136372, 0.0, -0.09865257286272744, 1762985268949036693, 
-0.4932628643136372, 0.0, -0.09865257286272744, 1762985268949036693, 
-0.4932628643136372, 0.0, -0.09865257286272744, 1762985268949036693, 
-0.4932628643136372, 0.0, -0.09865257286272744, 1762985268949036693, 
-0.4932628643136372, 0.0, -0.09865257286272744, 1762985268949036693, 
-0.33113030342642813, 0.5404418696240302, -0.08784373547024683, 1762985278538478409, 
-0.3325362552972073, 0.5357553633880996, -0.07712862820248484, 1762985278698584209, 
-0.33954551060894467, -0.028050690608388457, -0.06688080462217201, 1762985278788793241, 
-0.3375782558150029, -0.016806668392651918, -0.06731066811474366, 1762985278938579037, 
-0.33580109823483695, 0.012481374580359065, -0.06752832431058563, 1762985279048672120, 
-0.3404390936791617, -0.009536126213862683, -0.06758789651526677, 1762985279193507063, 
-0.32536339632048294, 0.03479233971451334, -0.06677357254896543, 1762985279283465598, 
-0.31343552654210516, 0.09001189045685513, -0.06528253443611665, 1762985279433676664, 
